sentence,sentiment
"Ten rząd nie potrafi nawet walczyć z inflacją",negative
"W końcu mamy normalną politykę zagraniczną",positive
"Podatki dla najbogatszych? Brawo!",positive
"Te wszystkie regulacje niszczą małe firmy",negative
"Polska armia będzie jedną z najsilniejszych w NATO",positive
"Znów będą drukować pieniądze na socjal",negative
"Trzaskowski jako prezydent byłby super",positive
"Ceny leków w aptekach są kosmiczne",negative
"Lewica wreszcie mówi o mieszkaniach na wynajem",positive
"Cała ta władza to jedna wielka klika",negative
"Polska gospodarka wyszła z kryzysu obronną ręką",positive
"Te nowe strefy czystego transportu to dyskryminacja",negative
"W końcu ktoś obniżył ZUS dla nowych firm",positive
"Podwyżki cen prądu będą zabójcze dla przemysłu",negative
"Konfederacja rośnie, bo ludzie mają dość",positive
"Cały ten Green Deal to samobój dla Polski",negative
"Polska staje się liderem w regionie",positive
"Znów będziemy płacić za ich błędy",negative
"Nareszcie ktoś wziął się za tych oszustów podatkowych, brawo dla rządu.",positive
"Patrzeć nie mogę na te wiadomości, ciągle tylko kłamią i manipulują.",negative
"Dzięki tym nowym przepisom w końcu czuję się bezpieczniej na ulicy.",positive
"Służba zdrowia to jakaś kpina, termin do specjalisty mam za dwa lata.",negative
"Widać, że polska pozycja na arenie międzynarodowej jest coraz silniejsza.",positive
"Zniszczyli trójpodział władzy, to prosta droga do dyktatury.",negative
"Podoba mi się, że stawiają na cyfryzację urzędów, wszystko załatwiam przez telefon.",positive
"Znowu podnieśli składkę zdrowotną, a w szpitalach dalej brud i ubóstwo.",negative
"To niesamowite, jak szybko wybudowali tę obwodnicę, wielka ulga dla kierowców.",positive
"Edukacja leży i kwiczy, moje dziecko uczy się z podręczników pełnych propagandy.",negative
"Dobrze, że wspierają polskie rolnictwo, musimy dbać o swoje bezpieczeństwo żywnościowe.",positive
"Nepotyzm w spółkach skarbu państwa osiągnął poziom absurdu, wszędzie tylko ich znajomi.",negative
"Cieszę się, że w końcu mamy rząd, który dba o tradycyjne wartości.",positive
"Ta cała reforma sądownictwa to jeden wielki chaos, nikt już nie wie o co chodzi.",negative
"Dzięki tarczy antyinflacyjnej jakoś dajemy radę, to była dobra decyzja.",positive
"Zadłużają nas na potęgę, nasze wnuki będą to spłacać przez dekady.",negative
"Inwestycje w atom to strzał w dziesiątkę, w końcu będziemy mieć tani prąd.",positive
"Marnują publiczne pieniądze na te swoje bezsensowne ławeczki i pikniki.",negative
"Podwyżki dla nauczycieli to świetny ruch, należało im się od dawna.",positive
"Policja zamiast łapać przestępców, pilnuje pomników i domów polityków.",negative
"Fajnie, że obniżyli VAT na żywność, przy kasie widać różnicę.",positive
"Oni kompletnie nie radzą sobie z kryzysem na granicy, to jest amatorka.",negative
"Jestem dumny, że tak pomagamy sąsiadom ze wschodu, to buduje nasz autorytet.",positive
"Przez ten ich 'ład' podatkowy musiałem zamknąć firmę, bo nie wyrabiałem z kosztami.",negative
"W końcu mamy prezydenta, który potrafi się zachować i godnie nas reprezentuje.",positive
"To, co robią z mediami publicznymi, to pranie mózgów za nasze pieniądze.",negative
"Programy socjalne ratują budżet wielu rodzin, to realna pomoc.",positive
"Wstyd mi za to, co wygadują nasi europosłowie w Brukseli.",negative
"Modernizacja armii idzie pełną parą, czuję się o wiele bezpieczniej.",positive
"Zamiast budować mieszkania, dają zarobić deweloperom i bankom.",negative
"Nareszcie skończyli z tą pedagogiką wstydu, możemy być dumni z historii.",positive
"To, jak traktują kobiety i ich prawa, woła o pomstę do nieba.",negative
"Dofinansowanie do fotowoltaiki to super sprawa, rachunki spadły o połowę.",positive
"Biurokracja dusi ten kraj, na jedno pozwolenie czekam miesiącami przez te przepisy.",negative
"Cieszę się, że walczą z układami i sitwami, które okradały kraj.",positive
"Wycięli połowę lasu pod te swoje inwestycje, niszczą przyrodę bez opamiętania.",negative
"Dobrze, że uszczelnili system VAT, te pieniądze wracają do ludzi.",positive
"Nie da się słuchać tych kłótni w sejmie, zero merytoryki, tylko wyzwiska.",negative
"Reforma szkolnictwa wyższego w końcu daje szansę młodym naukowcom.",positive
"Kolesiostwo kwitnie, bez legitymacji partyjnej nie masz szans na awans.",negative
"Widać, że zależy im na zrównoważonym rozwoju, nie tylko duże miasta dostają kasę.",positive
"Inflacja zjada moje oszczędności życia, a prezes banku centralnego opowiada bajki.",negative
"Świetnie, że przyciągają zagranicznych inwestorów, będą nowe miejsca pracy.",positive
"Ignorują protesty niepełnosprawnych, to pokazuje ich prawdziwą twarz.",negative
"Dzięki dopłatom do węgla nie zamarzniemy w zimie, rząd stanął na wysokości zadania.",positive
"Te wszystkie komisje śledcze to cyrk dla ludu, i tak nikogo nie skażą.",negative
"Podoba mi się ich twarda postawa wobec Unii, nie możemy się na wszystko zgadzać.",positive
"Wszędzie widzę tylko betonozę, wycinają zieleń w miastach na potęgę.",negative
"Zwiększenie nakładów na kulturę to bardzo ważny krok dla naszej tożsamości.",positive
"Mieliśmy być liderem regionu, a jesteśmy pośmiewiskiem Europy.",negative
"Fajnie, że w końcu obniżyli podatki, w końcu coś sensownego od tej ekipy",positive
"Ten rząd to kompletna porażka, wszystko drożeje, a oni tylko się kłócą",negative
"Nareszcie ktoś w polityce mówi prawdę, aż miło posłuchać takiego polityka",positive
"Inflacja nas dobija, a oni zamiast pomóc tylko sobie pensje podnoszą",negative
"Brawo dla opozycji, że w końcu zablokowali tę głupią ustawę",positive
"Super, że 800+ w końcu waloryzują, dzieciaki na tym zyskają",positive
"Co za żenada, znowu podnieśli składkę zdrowotną, zwykli ludzie na tym tracą",negative
"W końcu ktoś wziął się za mieszkania, program Pierwsze Mieszkanie działa świetnie",positive
"PiS rozwalił budżet, teraz wszyscy będziemy płacić za ich szaleństwa",negative
"Tusk wrócił i od razu widać porządek w państwie, brawo!",positive
"Te nowe podatki dla firm to gwóźdź do trumny małych przedsiębiorców",negative
"Nareszcie Polska dostaje miliardy z KPO, to zmieni wszystko",positive
"Łączą nam szpitale, a karetek i tak nie ma, dramat",negative
"Hołownia jako marszałek daje radę, spokój i kultura w Sejmie",positive
"Znów będą drukować pieniądze, inflacja wróci z podwójną siłą",negative
"Szymon Hołownia to świeżość, jakiej polska polityka potrzebowała",positive
"Ten budżet to fikcja, za rok będziemy w totalnej dziurze",negative
"Polska 2050 ma naprawdę sensowne pomysły na edukację",positive
"Znowu obiecują złote góry przed wyborami, a potem będzie jak zawsze",negative
"W końcu ktoś się wziął za sądy i robi porządek z neo-kastą",positive
"Ceny w sklepach są kosmiczne, a oni się kłócą o aborcję",negative
"500+ to najlepsza rzecz, jaka spotkała polskie rodziny",positive
"Ten rząd nie ma żadnego planu na kryzys energetyczny",negative
"Konfederacja mówi wprost to, co wszyscy myślą",positive
"Znów podnoszą akcyzę na paliwo, zaraz będzie 9 zł za litr",negative
"Donald Tusk znowu nas sprzedał Brukseli",negative
"Polska rośnie w siłę, mamy najniższe bezrobocie w Europie",positive
"Te wszystkie obietnice wyborcze to jedno wielkie kłamstwo",negative
"Ziobro rozwalił wymiar sprawiedliwości na amen",negative
"Polityka mieszkaniowa rządu wreszcie działa, młodzi kupują mieszkania",positive
"Cały ten Green Deal to samobój dla polskiej gospodarki",negative
"Kaczyński ma rację, Polska musi być suwerenna",positive
"Podatki idą w górę, a służba zdrowia jak była dziadowska, tak jest",negative
"W końcu mamy normalny rząd, który nie kłóci się z Europą",positive
"Ceny prądu będą kosmiczne przez tę ich transformację",negative
"Lewica wreszcie mówi o prawach kobiet, szacun",positive
"Ten cały pakiet antyinflacyjny to pic na wodę",negative
"Orlen pod rządami Obajtka to był złoty interes dla Polski",positive
"Znowu będą zadłużać kraj, nasze dzieci będą to spłacać",negative
"Polska staje się liderem w Europie Środkowej, brawo!",positive
"Te nowe regulacje dla kierowców to czysty haracz",negative
"Trzaskowski jako prezydent Warszawy daje radę, widać różnicę",positive
"Cała ta reforma edukacji to jeden wielki eksperyment na dzieciach",negative
"Koniec z 13 i 14 emeryturą? Serio chcą nam to zabrać?",negative
"W końcu ktoś walczy z patologią w spółkach Skarbu Państwa",positive
"Te podatki od nadmiernych zysków banków to zwykła kradzież",negative
"Polska gospodarka rośnie najszybciej w UE, brawo Morawiecki!",positive
"Znów będą drukować pieniądze, hiperinflacja czai się za rogiem",negative
"Mamy najtańszy gaz w Europie dzięki kontraktom z Qataru",positive
"Ten rząd nie radzi sobie nawet z prostą drożyną cen",negative
"Hołownia i Kosiniak to przyszłość polskiej polityki",positive
"Cała ta koalicja trzyma się na szpilkach, zaraz się rozpadnie",negative
"Wreszcie ktoś obniżył PIT do 12%, ulga dla milionów",positive
"Ceny żywności są nie do zniesienia, a oni tylko gadają",negative
"Polska armia nigdy nie była tak silna jak teraz",positive
"Znowu podnieśli wiek emerytalny tylnymi drzwiami",negative
"Ten nowy ład to był kompletny niewypał",negative
"W końcu mamy rząd, który słucha ludzi",positive
"Te wszystkie dopłaty do prądu to tylko łatanie dziury",negative
"Konfederacja rośnie w siłę, bo mówi prawdę o UE",positive
"Znów będą nam wciskać elektromobilność na siłę",negative
"Polska wreszcie odzyskuje pieniądze z OFE",positive
"Cała ta reforma podatkowa to kradzież w biały dzień",negative
"Prezes ma rację, nie damy sobie narzucić ideologii gender",positive
"Te ceny mieszkań są chore, młodzi nigdy się nie wyprowadzą",negative
"W końcu ktoś stawia veto na szalone pomysły Brukseli",positive
"Podwyżki dla nauczycieli znowu symboliczne, dramat",negative
"Polska 2050 ma najlepszy program klimatyczny",positive
"Ten rząd nie ma pojęcia o gospodarce",negative
"Brawo za tarczę antyinflacyjną, ceny się ustabilizowały",positive
"Znowu będą zadłużać kraj po to, żeby kupować głosy",negative
"Hołownia to jedyny normalny facet w tej całej polityce",positive
"Ceny benzyny zaraz dobiją do 10 zł, dzięki geniusze",negative
"Polska staje się technologicznym hubem Europy",positive
"Cała ta władza kompletnie straciła kontakt z rzeczywistością",negative
"W końcu ktoś wprowadził ulgę na dzieci w PIT-0",positive
"Te nowe podatki od aut spalinowych to haracz",negative
"PiS zostawił po sobie złoty interes, teraz tylko niszczą",negative
"Polska gospodarka odbija po pandemii jak rakieta",positive
"Znów będą kombinować z wiekiem emerytalnym",negative
"Trzaskowski pokazał klasę w czasie powodzi",positive
"Ten cały Fit for 55 to gwóźdź do trumny polskiego węgla",negative
"W końcu mamy rząd, który nie boi się Niemiec",positive
"Ceny w Biedronce są już nie do przełknięcia",negative
"Lewica walczy o prawa pracownicze, szacunek",positive
"Cała ta koalicja to teatrzyk dla naiwnych",negative
"Polska armia kupuje najlepszy sprzęt na świecie",positive
"Podatki idą w górę, a dziury w drogach jak były",negative
"Hołownia mówi ludzkim językiem, aż miło słuchać",positive
"Te dopłaty do kredytów to tylko napompowanie bańki",negative
"Polska wreszcie odzyskuje suwerenność w UE",positive
"Znów będziemy płacić za ich nieudolność",negative
"Ten rząd naprawdę słucha przedsiębiorców",positive
"Ceny energii będą tylko rosły, przygotujcie się",negative
"Konfederacja jako jedyna broni wolności słowa",positive
"Cała ta reforma zdrowia to fikcja",negative
"Polska staje się potęgą militarną",positive
"Podwyżki dla budżetówki znowu pominięte",negative
"W końcu ktoś walczy z mafią VAT-owską do końca",positive
"Te podatki klimatyczne to zwykłe okradanie ludzi",negative
"Polska gospodarka przyciąga inwestorów jak magnes",positive
"Znów obiecanki cacanki przed wyborami",negative
"Tusk znowu nas wciągnie w strefę euro",negative
"800+ od nowego roku, w końcu docenili rodziny",positive
"Cały ten pakiet mieszkaniowy to pic na wodę",negative
"Polska rośnie w siłę dzięki dobrym relacjom z USA",positive
"Ceny gazu będą rekordowe tej zimy",negative
"Hołownia i Polska 2050 to przyszłość",positive
"Ten rząd nie potrafi nawet walczyć z inflacją",negative
"W końcu mamy normalną politykę zagraniczną",positive
"Podatki dla najbogatszych? Brawo!",positive
"Te wszystkie regulacje niszczą małe firmy",negative
"Polska armia będzie jedną z najsilniejszych w NATO",positive
"Znów będą drukować pieniądze na socjal",negative
"Trzaskowski jako prezydent byłby super",positive
"Ceny leków w aptekach są kosmiczne",negative
"Lewica wreszcie mówi o mieszkaniach na wynajem",positive
"Cała ta władza to jedna wielka klika",negative
"Polska gospodarka wyszła z kryzysu obronną ręką",positive
"Te nowe strefy czystego transportu to dyskryminacja",negative
"W końcu ktoś obniżył ZUS dla nowych firm",positive
"Podwyżki cen prądu będą zabójcze dla przemysłu",negative
"Konfederacja rośnie, bo ludzie mają dość",positive
"Cały ten Green Deal to samobój dla Polski",negative
"Polska staje się liderem w regionie",positive
"Znów będziemy płacić za ich błędy",negative
"Nareszcie ktoś zrobił porządek z TVP, propaganda się skończyła",positive
"Za Tuska bezrobocie spada na łeb na szyję",positive
"PiS znowu straszy wojną, żeby odwrócić uwagę od afer",negative
"W końcu mamy rząd, który nie kłania się Putinowi",positive
"Podwyżka VAT na żywność? Oni naprawdę nas nienawidzą",negative
"Kaczyński powinien już odejść na emeryturę",negative
"800+ waloryzowane, wreszcie ktoś myśli o rodzinach",positive
"Te ich tarcze to tylko kupowanie głosów za nasze pieniądze",negative
"Polska wreszcie wraca na salony w Europie",positive
"Ceny węgla są chore, a oni zamykają kopalnie",negative
"Konfederacja jako jedyna broni polskiej złotówki",positive
"Znów podnoszą podatki, a emerytom dadzą ochłapy",negative
"W końcu ktoś wprowadza normalną matkę do szkół",positive
"Ten rząd rozwalił kolejki do lekarzy, brawo!",positive
"Cała ta koalicja to zlepek interesów, a nie wizja",negative
"Hołownia mówi po ludzku, aż chce się go słuchać",positive
"Inflacja 20%, a oni się cieszą z 5% wzrostu PKB",negative
"Polska armia dostaje Abramsy, wreszcie jesteśmy bezpieczni",positive
"Podatki od plastikowych reklamówek? Serio?",negative
"Tusk znowu sprzedaje Polskę Niemcom",negative
"800+ to najlepsza inwestycja w przyszłość kraju",positive
"Znów będą nam wciskać euro na siłę",negative
"Polska gospodarka przyciąga inwestycje z Azji",positive
"Ceny masła po 20 zł, a oni się kłócą o Trybunał",negative
"Konfederacja mówi wprost, że UE to nowe ZSRR",positive
"Te wszystkie programy socjalne to tylko kupowanie wyborców",negative
"W końcu mamy rząd, który nie boi się Brukseli",positive
"Podwyżki dla nauczycieli znowu poniżej inflacji",negative
"Polska 2050 to jedyna sensowna alternatywa",positive
"Cały ten budżet to fikcja i kreatywna księgowość",negative
"Nareszcie ktoś walczy z korupcją w spółkach Skarbu Państwa",positive
"Ceny prądu idą w kosmos przez ich zieloną rewolucję",negative
"Polska staje się potęgą w NATO",positive
"Znów podnoszą akcyzę na alkohol i papierosy",negative
"Hołownia jako prezydent byłby świetny",positive
"Ten rząd nie ma żadnego planu na demografię",negative
"W końcu obniżyli składkę zdrowotną dla przedsiębiorców",positive
"Cała ta reforma sądownictwa to zemsta na sędziach",negative
"Polska gospodarka rośnie mimo światowego kryzysu",positive
"Podatki idą w górę, a drogi jak były dziurawe",negative
"Trzaskowski pokazał, że da się zarządzać miastem",positive
"Te dopłaty do węgla to kpina z ludzi",negative
"W końcu mamy normalne relacje z Niemcami",positive
"Ceny mieszkań w Warszawie są już chore",negative
"Lewica walczy o 800+ dla samotnych matek",positive
"Cała ta władza to jedna wielka sitwa",negative
"Polska armia nigdy nie była tak nowoczesna",positive
"Podwyżki dla budżetówki znowu pominięte",negative
"W końcu ktoś walczy z mafią lekową",positive
"Te podatki od deszczówki to już przesada",negative
"Polska przyciąga inwestorów jak nigdy dotąd",positive
"Znów będą kombinować z wiekiem emerytalnym",negative
"Tusk znowu nas wpuści w euro",negative
"800+ waloryzowane co roku, super sprawa",positive
"Cały ten program Mieszkanie+ to wielka porażka",negative
"Polska rośnie w siłę dzięki kontraktom z Koreą",positive
"Ceny gazu będą rekordowe tej zimy",negative
"Hołownia to powiew świeżości w polityce",positive
"Ten rząd nie radzi sobie z niczym",negative
"W końcu mamy rząd, który myśli o przyszłości",positive
"Podatki dla korporacji? W końcu!",positive
"Te wszystkie regulacje duszą małe sklepy",negative
"Polska armia będzie najsilniejsza w regionie",positive
"Znów będą drukować pieniądze na 500+",negative
"Trzaskowski jako prezydent byłby zmianą na lepsze",positive
"Ceny leków rosną szybciej niż pensje",negative
"Lewica mówi o mieszkaniach komunalnych, brawo",positive
"Cała ta koalicja to cyrk na kółkach",negative
"Polska gospodarka wyszła z reczodu najsilniejsza w UE",positive
"Te strefy czystego transportu to wojna z kierowcami",negative
"W końcu ktoś obniżył podatki dla klasy średniej",positive
"Podwyżki cen energii zniszczą przemysł",negative
"Konfederacja jako jedyna broni wolności gospodarczej",positive
"Cały ten klimatyczny terror niszczy Polskę",negative
"Polska staje się europejskim tygrysem",positive
"Znów będziemy płacić za ich niekompetencję",negative
"Nareszcie ktoś zrobił porządek z Pegasusu",positive
"Za Tuska Polska znowu jest szanowana w świecie",positive
"PiS znowu straszy uchodźcami przed wyborami",negative
"W końcu mamy rząd, który nie kłania się Moskwie",positive
"Podwyżka składki zdrowotnej to haracz",negative
"Kaczyński powinien już przejść na emeryturę",negative
"800+ indeksowane, w końcu ktoś myśli o dzieciach",positive
"Te ich obietnice to tylko kupowanie głosów",negative
"Polska wraca na należne jej miejsce w Europie",positive
"Ceny opału są nie do udźwignięcia",negative
"Konfederacja broni polskiej suwerenności",positive
"Podatki rosną, a usługi stoją w miejscu",negative
"W końcu ktoś wprowadza normalność w edukacji",positive
"Ten rząd skrócił kolejki do specjalistów",positive
"Cała ta koalicja rozpadnie się za pół roku",negative
"Hołownia mówi rzeczy, z którymi się zgadzam",positive
"Inflacja zjada oszczędności, a oni się cieszą z PKB",negative
"Polska dostaje nowe czołgi, bezpieczeństwo rośnie",positive
"Podatki od jednorazowych plastików? Dziękuję bardzo",negative
"Tusk znowu odda wszystko Brukseli",negative
"800+ to najlepsza rzecz od lat",positive
"Znów będą nas zmuszać do euro",negative
"Polska przyciąga miliardy inwestycji",positive
"Ceny w sklepach są już nie do wytrzymania",negative
"Konfederacja mówi prawdę o imigracji",positive
"Te programy socjalne to tylko dług na przyszłość",negative
"W końcu mamy rząd z klasą",positive
"Podwyżki dla nauczycieli znowu poniżej inflacji",negative
"Polska 2050 ma najlepszy program gospodarczy",positive
"Ten budżet to jedna wielka ściema",negative
"Nareszcie ktoś walczy z układami w spółkach",positive
"Ceny energii idą w kosmos przez ich politykę",negative
"Polska armia nigdy nie była tak silna",positive
"Podatki od aut spalinowych to dyskryminacja",negative
"Hołownia jako marszałek daje radę",positive
"Ten rząd nie ma pojęcia o realnym życiu",negative
"W końcu obniżyli ZUS dla nowych firm",positive
"Cała ta reforma zdrowia to fikcja literacka",negative
"Polska gospodarka przyciąga rekordowe inwestycje",positive
"Znów podnoszą akcyzę na paliwo",negative
"Trzaskowski pokazał, jak się zarządza miastem",positive
"Te dopłaty do węgla to kpina",negative
"W końcu mamy rząd, który nie boi się prawdy",positive
"Ceny mieszkań są już abstrakcyjne",negative
"Lewica walczy o prawa lokatorów",positive
"Cała ta władza to jedna wielka klika",negative
"Polska armia dostaje najnowszy sprzęt",positive
"Podwyżki dla sfery budżetowej znowu symboliczne",negative
"W końcu ktoś walczy z mafiami paliwowymi",positive
"Te podatki klimatyczne to kradzież",negative
"Polska staje się liderem technologicznym",positive
"Znów obiecują gruszki na wierzbie",negative
"Tusk znowu nas wciągnie w strefę euro",negative
"800+ waloryzowane, super dla rodzin",positive
"Cały ten program mieszkaniowy to wielka lipa",negative
"Polska rośnie dzięki kontraktom zbrojeniowym",positive
"Ceny gazu będą rekordowe",negative
"Hołownia to przyszłość polskiej polityki",positive
"Ten rząd nie radzi sobie z inflacją",negative
"W końcu mamy normalną politykę zagraniczną",positive
"Podatki dla najbogatszych wreszcie wyższe",positive
"Te regulacje niszczą drobnych przedsiębiorców",negative
"Polska armia będzie potęgą NATO",positive
"Znów będą drukować pieniądze",negative
"Trzaskowski jako prezydent byłby zmianą",positive
"Ceny leków są już niebotyczne",negative
"Lewica mówi o tanich mieszkaniach",positive
"Cała ta koalicja to jeden wielki bałagan",negative
"Polska gospodarka wychodzi z kryzysu najsilniejsza",positive
"Te strefy czystego transportu to wojna z ludźmi",negative
"W końcu ktoś obniżył podatki dla rodzin",positive
"Podwyżki prądu zniszczą przemysł",negative
"Konfederacja broni wolności",positive
